26 -5
-8 -8
24 1
-14 -16
-30 -9
35 8
-38 -4
-31 -15
-11 -7
30 0
-34 6
16 12
11 -6
32 26
16 12
14 -2
32 23
-42 -9
-9 4
-32 -17
-30 -6
11 -16
-5 7
-29 10
-41 -2
-23 -4
-27 0
-32 -19
44 39
35 20
-16 24
-41 4
-1 -5
6 -2
-1 -16
-38 -7
-10 4
13 26
-3 -24
32 10
17 20
-8 2
-29 -44
11 1
-42 -13
11 1
-38 7
-17 -35
-23 -7
44 4
-9 -1
6 14
-4 9
44 23
-14 -15
-29 -20
34 14
9 -10
-19 -4
24 -1
6 6
29 3
-18 -28
18 14
-50 -11
34 2
-15 -12
-35 -20
28 25
-6 -4
-26 -1
-39 -34
-21 -23
-43 -25
6 20
-19 -13
35 9
10 5
30 21
-3 5
45 29
49 22
34 29
37 -12
-28 -3
-37 -20
34 27
8 0
-27 9
17 9
19 35
11 1
-43 -2
18 2
36 9
9 -15
-11 -32
-50 -10
-20 19
22 -28
-47 -24
22 -6
31 10
-3 7
14 10
-8 12
32 6
39 7
36 30
-11 0
49 0
7 -9
-4 -19
12 21
7 -11
37 12
-37 -12
-1 13
-22 -15
29 25
18 -8
-16 -3
19 6
-21 -10
-26 -18
-1 11
-38 -8
14 13
-38 -5
-25 -8
10 11
30 18
-27 -18
-30 -22
-4 -18
15 -13
-14 2
19 17
31 21
19 1
-34 -33
11 5
-30 -25
-48 -10
-1 9
44 -2
-3 -41
12 29
23 31
39 36
-15 -14
-15 7
-20 -7
26 15
41 8
-36 -1
-41 -35
27 26
41 39
-4 -11
17 9
-41 -15
-20 -23
-39 -24
31 0
9 12
42 15
-1 -1
-12 7
8 11
-12 -5
13 -6
19 7
-1 -3
13 0
-3 2
36 11
9 -3
-29 -13
46 26
-50 -17
18 8
-21 -13
11 -1
-18 7
-44 -37
38 13
45 5
30 23
-45 -25
18 13
-5 -14
7 -6
21 24
-13 -1
-10 -19
-27 14
16 22
-19 -12
-8 6
46 13
-2 4
34 14
-3 28
-12 -3
-34 -19
-26 -18
36 19
31 23
-37 -17
-26 18
-4 10
-13 -16
16 17
-35 -20
-40 -11
-39 -7
47 6
-48 -27
25 0
27 16
28 -2
33 21
-32 18
-5 1
36 11
42 34
-12 -27
45 29
-25 -11
-16 -28
-45 -20
-19 -7
